feature,source,built_from,dtype,role,availability_tier,cov_2016,cov_2017,cov_2018,cov_2019,cov_2020,cov_min_year,n_years_ge_60,gate_a_holdout,gate_b_train,gate_c_needs_2016_drop,gate_d_holdout_variance,in_full,in_core,near_zero_variance,constant_in_holdout,decision,decision_reason
comp_source_manure,raw,,boolean,lever,ex_ante,0.0,0.0,0.0,0.0,27.9,0.0,0,False,False,False,True,False,False,False,False,drop,"Gate A: only 27.9% coverage in the 2020 holdout, so it cannot be scored out-of-time."
design_plant_density,derived,row_spacing|plant_spacing,float64,lever,ex_ante,0.0,98.8,58.6,54.5,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
lime_method,raw,,str,lever,ex_ante,0.0,0.0,10.0,5.3,0.0,0.0,0,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
pesticide,raw,,boolean,lever,mid_season,0.0,85.3,51.6,68.1,41.4,0.0,2,False,True,False,True,False,False,False,False,drop,"Gate A: only 41.4% coverage in the 2020 holdout, so it cannot be scored out-of-time."
plant_spacing,raw,,float64,lever,ex_ante,0.0,99.1,58.9,54.6,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
row_spacing,raw,,float64,lever,ex_ante,44.9,98.9,58.6,54.6,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
seed_depth_cm,derived,seed_depth_num,Float64,lever,ex_ante,0.0,0.0,88.2,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
seed_depth_est,raw,,str,lever,ex_ante,0.0,100.0,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
chicks,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
ducks,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
guinea_fowl,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,True,False,drop,"Split or bookkeeping column, emitted but not a feature."
pigs,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_can_kg,raw,,float64,metadata,ex_ante,0.0,0.3,38.4,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_dap_kg,raw,,float64,metadata,ex_ante,0.0,18.9,66.9,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_lime_kg,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,True,False,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_npk_kg,raw,,float64,metadata,ex_ante,0.0,0.4,1.1,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_urea_kg,raw,,float64,metadata,ex_ante,0.0,0.4,4.6,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
rabbits,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,True,False,drop,"Split or bookkeeping column, emitted but not a feature."
seed_depth_num,raw,,str,metadata,ex_ante,0.0,0.0,88.2,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
sheep,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
site_latitude,raw,,float64,metadata,ex_ante,81.0,88.2,99.2,93.3,0.0,0.0,4,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
site_longitude,raw,,float64,metadata,ex_ante,81.0,88.2,99.2,93.3,0.0,0.0,4,False,True,False,True,False,False,False,False,drop,"Split or bookkeeping column, emitted but not a feature."
aphids,raw,,boolean,shock,mid_season,0.0,0.0,1.9,0.8,100.0,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
blight,raw,,boolean,shock,mid_season,0.0,0.0,0.0,0.0,100.0,0.0,1,True,False,False,True,False,False,True,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
cutworms,raw,,boolean,shock,mid_season,0.0,0.0,3.6,1.8,100.0,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
mlnd,raw,,boolean,shock,mid_season,0.0,3.1,1.8,2.9,100.0,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
msv,raw,,boolean,shock,mid_season,0.0,2.2,3.0,3.3,100.0,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
stemborer,raw,,boolean,shock,mid_season,0.0,8.8,5.5,1.7,100.0,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
striga,raw,,boolean,shock,mid_season,0.0,0.0,0.0,0.0,99.2,0.0,1,True,False,False,True,False,False,False,False,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
cv_fold,derived,site,Int64,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,True,infrastructure,"Cross-validation grouping key, emitted as infrastructure."
cv_group,derived,site,string,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,False,infrastructure,"Cross-validation grouping key, emitted as infrastructure."
site,raw,,str,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,False,infrastructure,"CV grouping key only, never a feature and never target-encoded: 2,133 levels over 23,674 rows, median 9 train rows per site, and train-site means correlate only 0.286 with holdout-site means. Use district (0.717) if a geographic encoding is wanted."
harvest_date,raw,,datetime64[us],metadata,ex_post,0.0,63.7,100.0,100.0,96.1,0.0,4,True,True,True,True,False,False,False,False,infrastructure,"Raw datetime, unusable by a tree model directly and already represented by plant_date_doy / growing_season_days."
is_holdout,derived,year,bool,metadata,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,False,False,False,True,infrastructure,"Split or bookkeeping column, emitted but not a feature."
plant_date,raw,,datetime64[us],metadata,ex_ante,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,False,False,False,False,infrastructure,"Raw datetime, unusable by a tree model directly and already represented by plant_date_doy / growing_season_days."
cows,raw,,float64,condition,ex_ante,100.0,100.0,0.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
district,raw,,str,condition,ex_ante,100.0,98.6,100.0,100.0,100.0,98.6,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
electricity,raw,,boolean,condition,ex_ante,100.0,0.0,100.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
hh_num,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
hh_num_under18,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
owns_cows,raw,,boolean,condition,ex_ante,100.0,100.0,100.0,100.0,97.3,97.3,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
owns_electricity,raw,,boolean,condition,ex_ante,100.0,0.0,100.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
owns_oxen,raw,,boolean,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
plot_acres,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
plot_hectares,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
wealth_index,aggregate,owns_cows|owns_chickens|owns_goats|owns_bikes|owns_oxen|owns_electricity|owns_radio,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
can_kg_ph_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
comp_quality_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
comp_wb_pa_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
dap_kg_ph_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
fertility_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
field_gps_flagged_invalid,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
growing_season_days_flagged,flag,,boolean,flag,ex_post,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
n_kg_ph_is_missing,flag,,bool,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
pest_disease_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
plant_date_doy_is_missing,flag,,bool,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
plot_acres_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
slope_angle_num_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
slope_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
urea_kg_ph_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
uses_hybrid_seed_is_missing,flag,,bool,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
weed_flagged_invalid,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
basal_n_share,derived,dap_kg_ph_winsorized|n_kg_ph,float64,lever,ex_ante,92.3,88.4,89.5,90.1,89.1,88.4,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
can_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
can_kg_ph_winsorized,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
comp_wb_pa,raw,,float64,lever,ex_ante,100.0,99.8,100.0,100.0,98.9,98.9,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
comp_wb_pa_winsorized,raw,,float64,lever,ex_ante,100.0,99.8,100.0,100.0,98.9,98.9,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
compost,raw,,boolean,lever,ex_ante,100.0,95.3,59.6,56.2,99.2,56.2,3,True,True,False,True,True,False,False,False,keep,Stable across all five survey years and the holdout.
compost_applied,derived,comp_wb_pa_winsorized,boolean,lever,ex_ante,100.0,99.8,100.0,100.0,98.9,98.9,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
compost_wb_ph,derived,comp_wb_pa_winsorized,float64,lever,ex_ante,100.0,99.8,100.0,100.0,98.9,98.9,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
dap_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
dap_kg_ph_winsorized,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
hybrid_seed_share,derived,hybridseed_kg_ph|localseed_kg_ph,float64,lever,ex_ante,97.6,86.4,99.6,99.8,97.6,86.4,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
hybridseed_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
intercrop,raw,,boolean,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
intercrop_is_legume,derived,intercrop_type,boolean,lever,ex_ante,70.8,76.7,72.1,66.8,60.4,60.4,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
intercrop_type,raw,,str,lever,ex_ante,70.8,76.7,72.1,66.8,60.4,60.4,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
k2o_kg_ph,aggregate,npk_kg_ph_winsorized,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
lime_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,97.8,97.8,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
lime_kg_ph_winsorized,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,97.8,97.8,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
localseed_kg_ph,raw,,float64,lever,ex_ante,99.9,99.7,99.9,99.9,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
n_kg_ph,aggregate,dap_kg_ph_winsorized|urea_kg_ph_winsorized|can_kg_ph_winsorized|npk_kg_ph_winsorized,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
npk_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
npk_kg_ph_winsorized,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
p2o5_kg_ph,aggregate,dap_kg_ph_winsorized|npk_kg_ph_winsorized,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
plant_date_doy,derived,plant_date,Float64,lever,ex_ante,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
seed_category,raw,,str,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
seed_type,raw,,str,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
seed_type_clean,raw,,str,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
seed_type_is_mixed,raw,,boolean,lever,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
seed_type_primary,raw,,str,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
topdress_applied,derived,can_kg_ph_winsorized,boolean,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
total_nutrient_kg_ph,aggregate,n_kg_ph|p2o5_kg_ph|k2o_kg_ph,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
urea_kg_ph,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
urea_kg_ph_winsorized,raw,,float64,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,True,False,keep,Stable across all five survey years and the holdout.
uses_hybrid_seed,derived,hybridseed_kg_ph,boolean,lever,ex_ante,100.0,100.0,100.0,100.0,98.5,98.5,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
drought,raw,,boolean,shock,mid_season,100.0,95.3,99.2,100.0,99.2,95.3,5,True,True,False,True,True,True,False,False,keep,Stable across all five survey years and the holdout.
chickens,raw,,float64,condition,ex_ante,0.0,100.0,0.0,100.0,97.3,0.0,3,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
fertility,raw,,str,condition,ex_ante,0.0,95.3,99.2,100.0,99.2,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
fertility_ordinal,derived,fertility,Float64,condition,ex_ante,0.0,95.3,99.2,88.3,81.4,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
goats,raw,,float64,condition,ex_ante,0.0,100.0,0.0,100.0,97.3,0.0,3,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
growing_season_days,raw,,float64,condition,ex_post,0.0,39.4,99.1,99.2,94.0,0.0,3,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
hh_num_under5,raw,,float64,condition,ex_ante,0.0,0.0,100.0,100.0,100.0,0.0,3,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
owns_chickens,raw,,boolean,condition,ex_ante,0.0,100.0,100.0,100.0,97.3,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
owns_goats,raw,,boolean,condition,ex_ante,0.0,100.0,100.0,100.0,97.3,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
weed,raw,,float64,lever,mid_season,0.0,100.0,99.2,99.9,99.1,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
FAW,raw,,boolean,shock,mid_season,0.0,67.3,0.0,68.1,100.0,0.0,3,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
flood,raw,,boolean,shock,mid_season,0.9,95.3,99.2,100.0,99.2,0.9,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
pest_disease,raw,,boolean,shock,mid_season,0.0,100.0,100.0,100.0,99.2,0.0,4,True,True,True,True,False,True,False,False,keep_core_only,0% coverage in 2016 (reduced survey instrument); recovered in the core file by dropping that year's rows.
field_latitude,raw,,float64,excluded,ex_ante,97.3,100.0,99.7,99.6,94.0,94.0,5,True,True,False,True,False,False,False,False,quarantine,"5-decimal coordinates are a household fingerprint, and the geographic gradient is itself unstable: corr(field_longitude, yield) runs 0.297/0.299/0.164/0.457 across train years then collapses to 0.045 in the holdout, which sampled 50 districts against train's 40."
field_longitude,raw,,float64,excluded,ex_ante,97.3,100.0,99.7,99.6,94.0,94.0,5,True,True,False,True,False,False,False,False,quarantine,See field_latitude -- same fingerprinting and same out-of-time collapse.
hybrid_reported_raw,raw,,boolean,excluded,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,False,True,quarantine,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
plants_sqm_spacing,raw,,float64,excluded,ex_post,0.0,0.0,0.0,0.0,98.6,0.0,1,True,False,False,True,False,False,False,False,quarantine,"A realized stand count from the harvest quadrat, not a spacing choice: corr with yield 0.534 in 2020 vs 0.097 for design spacing in train, and all 26 rows where it is 0 have exactly 0 yield. Quarantined rather than unified with design_plant_density."
